sender,receiver,time,cost,sequence
本机,186****5643,2012/8/24 16:02,0.1,514
本机,186****5643,2012/8/24 16:05,0.1,515
本机,186****5643,2012/8/24 16:08,0.1,516
本机,186****5643,2012/8/24 16:16,0.1,517
本机,186****2010,2012/8/25 10:47,0.1,518
本机,186****2010,2012/8/25 10:51,0.1,519
本机,186****2010,2012/8/25 10:52,0.1,520
189****7094,本机,2012/8/26 18:16,0,521
本机,189****7094,2012/8/26 19:26,0.1,522
189****7094,本机,2012/8/26 19:29,0,523
本机,189****7094,2012/8/26 19:30,0.1,524
189****7094,本机,2012/8/26 19:30,0,525
本机,189****7094,2012/8/26 19:31,0.1,526
本机,189****7094,2012/8/26 19:34,0.1,527
189****7094,本机,2012/8/26 19:37,0,528
本机,189****7094,2012/8/26 19:39,0.1,529
189****7094,本机,2012/8/26 19:39,0,530
本机,186****5643,2012/8/27 18:57,0.1,531
本机,186****5643,2012/8/27 22:15,0.1,532
本机,186****5643,2012/8/27 22:20,0.1,533
本机,186****5643,2012/8/27 22:22,0.1,534
本机,186****7681,2012/8/30 1:13,0.1,535
186****7681,本机,2012/8/30 10:09,0,536
本机,186****7681,2012/8/30 11:29,0.1,537
186****7681,本机,2012/8/30 11:30,0,538
本机,180****9830,2012/8/30 14:53,0.1,539
